iter,status,SSE,SSE_next,improve_ratio,a,s,step_norm,cond,b1,b2,b3,b4,b5
0,CLASSICAL_STEP,0.8790262935446405,0.0018986812701421928,0.9978400176603526,1.0,0.0,0.1105504794453941,17747.006345939088,0.5,1.5,-1.0,0.01,0.02
1,CLASSICAL_STEP,0.0018986812701421928,0.008397937624978258,-3.4230370610594023,1.0,0.0,0.2885083898310723,11960.585132649634,0.3783462650255902,1.3670148511351081,-0.8986861459231452,0.011511972938190031,0.025438412632574358
2,CLASSICAL_STEP,0.008397937624978258,0.00011095305922663551,0.9867880586661391,1.0,0.0,0.1449470755107488,13010.539231075345,0.3751208934687948,1.7111414958865918,-1.2397256981524434,0.012591496830120914,0.022244112615835213
3,CLASSICAL_STEP,0.00011095305922663551,5.464920585455947e-05,0.5074565204828501,1.0,0.0,0.002701302346147791,15410.062509162519,0.37545619333373864,1.9309648507339796,-1.4598486723448596,0.012886440726723371,0.022113531416698785
4,CLASSICAL_STEP,5.464920585455947e-05,5.464894697550973e-05,4.737105428949539e-06,1.0,0.0,0.00010233936463331312,15559.081195270626,0.37540882237088724,1.9356662960821767,-1.46450551250891,0.012867089590032191,0.022123399438054095
5,CLASSICAL_STEP,5.464894697550973e-05,5.464894697483174e-05,1.2406319125242948e-11,1.0,0.0,1.8865359679397254e-06,15559.992935337954,0.3754100278320088,1.9358435417375643,-1.4646837519737916,0.012867528074636102,0.022122713702951113
6,CLASSICAL_STEP,5.464894697483174e-05,5.464894697482711e-05,8.468942733569932e-14,1.0,0.0,5.643829442476046e-08,15560.01532589966,0.3754100513195787,1.935846812017595,-1.4646870354086754,0.012867534440035558,0.0221227000781452
7,CLASSICAL_STEP,5.464894697482711e-05,5.4648946974828905e-05,-3.285900182132096e-14,1.0,0.0,1.6314043792219978e-09,15560.015983183079,0.3754100520842683,1.9358469098014004,-1.4646871336878557,0.012867534634278888,0.022122699673722435
8,CLASSICAL_STEP,5.4648946974828905e-05,5.464894697482643e-05,4.525862515011984e-14,1.0,0.0,4.7278506743141415e-11,15560.01600219151,0.3754100521062945,1.9358469126280091,-1.4646871365286416,0.012867534639889825,0.022122699662021794
9,CLASSICAL_STEP,5.464894697482643e-05,5.4648946974828295e-05,-3.409896415420142e-14,1.0,0.0,1.360184520942718e-12,15560.016002742364,0.37541005210693296,1.9358469127099247,-1.4646871366109684,0.012867534640052438,0.022122699661682718
10,CLASSICAL_STEP,5.4648946974828295e-05,5.4648946974829176e-05,-1.6119510327440124e-14,1.0,0.0,6.04376028508516e-14,15560.016002758206,0.3754100521069514,1.9358469127122815,-1.464687136613337,0.012867534640057118,0.02212269966167297
11,CLASSICAL_STEP,5.4648946974829176e-05,5.46489469748321e-05,-5.3566372780415546e-14,1.0,0.0,1.7743119799156145e-14,15560.016002758908,0.37541005210695216,1.9358469127123863,-1.4646871366134422,0.012867534640057325,0.022122699661672532
12,CLASSICAL_STEP,5.46489469748321e-05,5.464894697482916e-05,5.381436524698866e-14,1.0,0.0,1.2599964607426617e-14,15560.016002758706,0.37541005210695194,1.9358469127123556,-1.4646871366134113,0.012867534640057266,0.02212269966167266
13,CLASSICAL_STEP,5.464894697482916e-05,5.464894697482842e-05,1.3639585661679887e-14,1.0,0.0,4.2830071052646264e-15,15560.016002758559,0.3754100521069518,1.935846912712334,-1.4646871366133893,0.012867534640057222,0.022122699661672754
14,CLASSICAL_STEP,5.464894697482842e-05,5.464894697482692e-05,2.740316755664815e-14,1.0,0.0,1.8360487811062812e-14,15560.016002758599,0.37541005210695183,1.9358469127123412,-1.464687136613397,0.012867534640057238,0.022122699661672716
15,CLASSICAL_STEP,5.464894697482692e-05,5.464894697483171e-05,-8.766533693461887e-14,1.0,0.0,1.6487150269883793e-14,15560.016002758815,0.37541005210695205,1.935846912712373,-1.4646871366134289,0.0128675346400573,0.022122699661672587
16,CLASSICAL_STEP,5.464894697483171e-05,5.4648946974828356e-05,6.137813547755663e-14,1.0,0.0,1.0209823481487334e-14,15560.016002758623,0.3754100521069519,1.9358469127123443,-1.4646871366134002,0.012867534640057245,0.022122699661672712
17,CLASSICAL_STEP,5.4648946974828356e-05,5.464894697483013e-05,-3.248701312145621e-14,1.0,0.0,1.4633801798819528e-15,15560.016002758508,0.3754100521069517,1.9358469127123268,-1.4646871366133822,0.012867534640057209,0.02212269966167278
18,CLASSICAL_STEP,5.464894697483013e-05,5.464894697482764e-05,4.5630613849982814e-14,1.0,0.0,1.1902953203404135e-15,15560.016002758513,0.3754100521069518,1.9358469127123292,-1.464687136613385,0.012867534640057217,0.022122699661672778
19,CLASSICAL_STEP,5.464894697482764e-05,5.4648946974830836e-05,-5.852622211193714e-14,1.0,0.0,1.3856713572489757e-14,15560.016002758552,0.3754100521069517,1.9358469127123314,-1.464687136613387,0.012867534640057214,0.022122699661672757
20,CLASSICAL_STEP,5.4648946974830836e-05,5.464894697483161e-05,-1.413557059483145e-14,1.0,0.0,1.300815059010707e-14,15560.016002758699,0.375410052106952,1.9358469127123552,-1.464687136613411,0.012867534640057268,0.02212269966167267
21,CLASSICAL_STEP,5.464894697483161e-05,5.464894697483026e-05,2.467525042431069e-14,1.0,0.0,3.837913627490362e-15,15560.016002758548,0.3754100521069518,1.9358469127123328,-1.4646871366133885,0.01286753464005722,0.022122699661672757
22,CLASSICAL_STEP,5.464894697483026e-05,5.4648946974828945e-05,2.405526925787132e-14,1.0,0.0,1.7240797430502426e-14,15560.016002758595,0.37541005210695183,1.9358469127123394,-1.4646871366133951,0.012867534640057235,0.02212269966167273
23,CLASSICAL_STEP,5.4648946974828945e-05,5.464894697482805e-05,1.636750279401593e-14,1.0,0.0,9.592928253081661e-15,15560.016002758797,0.37541005210695205,1.9358469127123694,-1.464687136613425,0.012867534640057292,0.0221226996616726
24,CLASSICAL_STEP,5.464894697482805e-05,5.464894697483164e-05,-6.57180036426408e-14,1.0,0.0,2.0254072823983742e-14,15560.016002758686,0.37541005210695194,1.9358469127123528,-1.4646871366134084,0.01286753464005726,0.022122699661672674
25,CLASSICAL_STEP,5.464894697483164e-05,5.464894697482795e-05,6.757794714195638e-14,1.0,0.0,3.572536837172231e-14,15560.016002758912,0.3754100521069522,1.9358469127123878,-1.4646871366134437,0.012867534640057332,0.022122699661672532
26,CLASSICAL_STEP,5.464894697482795e-05,5.4648946974830206e-05,-4.1290745684904574e-14,1.0,0.0,2.4730926850043306e-14,15560.016002758513,0.37541005210695166,1.9358469127123261,-1.4646871366133816,0.012867534640057203,0.022122699661672775
27,CLASSICAL_STEP,5.4648946974830206e-05,5.464894697482938e-05,1.5127540461135586e-14,1.0,0.0,6.561689087244707e-15,15560.016002758786,0.37541005210695205,1.9358469127123688,-1.4646871366134249,0.012867534640057294,0.02212269966167262
28,CLASSICAL_STEP,5.464894697482938e-05,5.46489469748318e-05,-4.426665528381546e-14,1.0,0.0,1.0727048637210761e-14,15560.016002758728,0.37541005210695194,1.9358469127123576,-1.464687136613413,0.01286753464005727,0.02212269966167265
29,CLASSICAL_STEP,5.46489469748318e-05,5.4648946974831595e-05,3.7198869986397896e-15,1.0,0.0,1.4539495318363186e-14,15560.016002758592,0.37541005210695183,1.935846912712339,-1.4646871366133944,0.012867534640057233,0.022122699661672726
30,CLASSICAL_STEP,5.4648946974831595e-05,5.464894697482963e-05,3.5958907653518104e-14,1.0,0.0,2.1147989894389848e-14,15560.016002758764,0.375410052106952,1.935846912712364,-1.4646871366134198,0.012867534640057281,0.022122699661672622
31,CLASSICAL_STEP,5.464894697482963e-05,5.464894697482771e-05,3.509093402050341e-14,1.0,0.0,5.934316202978116e-15,15560.016002758517,0.3754100521069517,1.9358469127123275,-1.464687136613383,0.012867534640057209,0.022122699661672778
32,CLASSICAL_STEP,5.464894697482771e-05,5.4648946974826506e-05,2.2071329525264405e-14,1.0,0.0,9.716832795344096e-15,15560.016002758435,0.37541005210695166,1.935846912712317,-1.4646871366133727,0.012867534640057193,0.022122699661672827
33,CLASSICAL_STEP,5.4648946974826506e-05,5.4648946974829345e-05,-5.1954421747674094e-14,1.0,0.0,8.553684575776865e-17,15560.016002758548,0.3754100521069518,1.935846912712334,-1.4646871366133896,0.012867534640057224,0.022122699661672754
34,CLASSICAL_STEP,5.4648946974829345e-05,5.464894697483167e-05,-4.253070801778351e-14,1.0,0.0,7.548035873897128e-15,15560.016002758557,0.37541005210695183,1.9358469127123341,-1.4646871366133896,0.012867534640057224,0.02212269966167275
35,CLASSICAL_STEP,5.464894697483167e-05,5.464894697482621e-05,9.994096403012259e-14,1.0,0.0,9.751307021156168e-15,15560.016002758652,0.3754100521069519,1.9358469127123472,-1.4646871366134029,0.012867534640057248,0.022122699661672695
36,CLASSICAL_STEP,5.464894697482621e-05,5.4648946974827665e-05,-2.6659190156921222e-14,1.0,0.0,9.601960203550993e-15,15560.016002758528,0.3754100521069518,1.9358469127123303,-1.464687136613386,0.012867534640057215,0.022122699661672764
37,CLASSICAL_STEP,5.4648946974827665e-05,5.464894697482953e-05,-3.409896415420065e-14,1.0,0.0,1.470068401443963e-14,15560.01600275865,0.3754100521069519,1.935846912712347,-1.4646871366134027,0.012867534640057247,0.022122699661672688
38,CLASSICAL_STEP,5.464894697482953e-05,5.464894697482862e-05,1.6615495260591753e-14,1.0,0.0,9.03156005431601e-16,15560.016002758808,0.3754100521069521,1.9358469127123723,-1.4646871366134284,0.0128675346400573,0.022122699661672594
39,CLASSICAL_STEP,5.464894697482862e-05,5.4648946974827034e-05,2.901511858939205e-14,1.0,0.0,6.536010237915702e-15,15560.01600275881,0.37541005210695205,1.935846912712371,-1.4646871366134266,0.012867534640057295,0.022122699661672594
40,CLASSICAL_STEP,5.4648946974827034e-05,5.4648946974832056e-05,-9.188120886641082e-14,1.0,0.0,1.1126304707657798e-14,15560.016002758883,0.37541005210695216,1.9358469127123823,-1.464687136613438,0.012867534640057318,0.022122699661672546
41,CLASSICAL_STEP,5.4648946974832056e-05,5.4648946974829704e-05,4.3026692950933366e-14,1.0,0.0,8.144467292609614e-15,15560.016002758757,0.37541005210695205,1.935846912712363,-1.4646871366134186,0.012867534640057283,0.022122699661672636
42,CLASSICAL_STEP,5.4648946974829704e-05,5.464894697482937e-05,6.0758154311118894e-15,1.0,0.0,1.3483466055391598e-14,15560.016002758675,0.3754100521069519,1.935846912712349,-1.4646871366134044,0.012867534640057248,0.022122699661672678
43,CLASSICAL_STEP,5.464894697482937e-05,5.464894697483019e-05,-1.5003544227847817e-14,1.0,0.0,1.5648218294224182e-14,15560.01600275882,0.37541005210695205,1.935846912712372,-1.4646871366134282,0.012867534640057297,0.022122699661672594
44,CLASSICAL_STEP,5.464894697483019e-05,5.464894697482827e-05,3.521493025379105e-14,1.0,0.0,3.14634178120373e-15,15560.016002758635,0.3754100521069519,1.9358469127123452,-1.4646871366134009,0.012867534640057245,0.022122699661672702
45,CLASSICAL_STEP,5.464894697482827e-05,5.464894697482836e-05,-1.7359472660320141e-15,1.0,0.0,9.943177667499709e-15,15560.016002758664,0.37541005210695194,1.9358469127123508,-1.4646871366134064,0.012867534640057259,0.022122699661672688
46,CLASSICAL_STEP,5.464894697482836e-05,5.464894697482878e-05,-7.68776646385605e-15,1.0,0.0,3.691450045938505e-15,15560.016002758779,0.3754100521069521,1.9358469127123679,-1.4646871366134238,0.012867534640057295,0.022122699661672626
47,CLASSICAL_STEP,5.464894697482878e-05,5.4648946974831276e-05,-4.563061384998394e-14,1.0,0.0,6.66514317491729e-15,15560.016002758834,0.37541005210695205,1.9358469127123743,-1.46468713661343,0.012867534640057302,0.02212269966167258
48,CLASSICAL_STEP,5.4648946974831276e-05,5.4648946974828925e-05,4.302669295093398e-14,1.0,0.0,1.1717573574498807e-14,15560.016002758757,0.37541005210695205,1.9358469127123628,-1.4646871366134184,0.012867534640057281,0.022122699661672636
49,CLASSICAL_STEP,5.4648946974828925e-05,5.4648946974829406e-05,-8.803732563447965e-15,1.0,0.0,1.2320642322740857e-14,15560.016002758617,0.37541005210695183,1.9358469127123423,-1.464687136613398,0.012867534640057238,0.022122699661672712
