k,x,h,y_true,y_lin,err_abs
0,0.85,0.001,6.711409395973154,6.71111111111111,0.0002982848620431966
1,0.857,0.001,7.04225352112676,7.041909139811237,0.0003443813155232789
2,0.864,0.001,7.4074074074074066,7.407006920415225,0.00040048699218164785
3,0.871,0.001,7.8125,7.812030527011597,0.0004694729884029414
4,0.878,0.001,8.264462809917356,8.263907551733404,0.0005552581839527448
5,0.885,0.001,8.771929824561404,8.771266540642724,0.0006632839186799799
6,0.892,0.001,9.345794392523366,9.34499314128944,0.0008012512339270472
7,0.899,0.001,10.000000000000002,9.999019703950594,0.0009802960494074142
8,0.906,0.001,10.752688172043014,10.751471253961071,0.001216918081942353
9,0.913,0.001,11.62790697674419,11.626370722684639,0.0015362540595518226
10,0.9199999999999999,0.001,12.658227848101255,12.65624999999999,0.001977848101265778
11,0.9269999999999999,0.001,13.888888888888877,13.886282604616238,0.0026062842726393143
12,0.9339999999999999,0.001,15.38461538461537,15.38108356290173,0.003531821713639971
13,0.941,0.001,17.24137931034481,17.23642631427749,0.00495299606732047
14,0.948,0.001,19.607843137254886,19.60059171597631,0.00725142127857481
15,0.955,0.001,22.72727272727271,22.71604938271603,0.011223344556679393
16,0.962,0.001,27.027027027027003,27.008310249307456,0.01871677771954694
17,0.969,0.001,33.33333333333331,33.29864724245574,0.03468609087756391
18,0.976,0.001,43.478260869565176,43.402777777777736,0.07548309178744006
19,0.983,0.001,62.49999999999994,62.283737024221395,0.21626297577854814
